country,country_code,region,income_group,year,population_total,population_female,population_male,population_growth_pct,urban_population_pct,fertility_rate,age_dependency_ratio_pct,gdp_current_usd,gdp_per_capita_usd,gdp_growth_pct,gdp_per_capita_ppp,inflation_consumer_pct,investment_gdp_pct,unemployment_total_pct,unemployment_female_pct,unemployment_male_pct,employment_total_pct,labor_force_participation_pct,life_expectancy_total,life_expectancy_female,life_expectancy_male,infant_mortality_rate,school_enrollment_tertiary_pct,internet_users_pct,mobile_subscriptions_per_100,co2_per_capita,renewable_energy_pct,exports_gdp_pct,imports_gdp_pct
Australia,AUS,East Asia & Pacific,High income,2019,25334826.0,12762303.0,12572523.0,1.47749071058438,87.3019647888406,1.657,52.9197584315896,1398349602956.35,55194.7585097428,2.19401703622717,52885.8313816377,1.610770929127,23.3219874334142,5.143,5.098,5.183,62.689,66.088,82.9,85.0,80.9,3.2,109.759559631348,93.60990143,109.752830879788,16.1007065925773,10.3,24.0624800210722,21.939202684145
Austria,AUT,Europe & Central Asia,High income,2019,8879920.0,4511901.0,4368019.0,0.444673639004876,68.3176044750522,1.46,50.0670998710729,442983642371.842,49885.9947355204,1.75497619649288,60354.9279422121,1.53089564152644,25.0801117201002,4.56,4.423,4.679,58.121,60.898,81.8951219512195,84.2,79.7,2.9,86.3234329223633,87.7522047870069,120.776373862218,7.74519365039325,34.0,55.8958073929339,52.3114775114917
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,2019,10024283.0,5123706.0,4900577.0,0.846646726414021,58.1308191977779,1.81,43.2140002863056,48174235294.1176,4805.75371765917,2.47980879185565,16675.3179361558,2.61057182799215,21.1295517984961,5.0,5.739,4.26,61.966,65.227,73.29,76.235,70.217,16.5,32.9221812477847,81.0999990651547,106.328337689377,3.68923143929596,1.7,49.0506275016423,36.7675179068137
"Bahamas, The",BHS,Latin America & Caribbean ,High income,2019,394675.0,205180.0,189495.0,0.497339072752345,81.8257463283204,1.397,44.2462318904142,13277000000.0,33640.3369861278,-0.838585871193203,36116.0002025353,2.49123527368046,24.205769375612,9.336,9.672,8.994,67.455,74.401,71.408,74.176,68.617,16.0,,90.69329834,107.811997212897,3.67517577753848,1.1,34.9807938540333,33.8058296301875
Bahrain,BHR,"Middle East, North Africa, Afghanistan & Pakistan",High income,2019,1483756.0,556667.0,927089.0,-1.29469437720599,100.0,1.843,30.0473734261812,40446808510.6383,27259.7438599327,2.05287774418655,56599.5214364411,1.00582004702137,27.5453708574435,1.217,4.011,0.491,70.545,71.414,80.471,81.54,79.615,6.5,52.9045782700327,99.7015043807778,129.142743677937,24.8338675631303,0.0,73.0944239873751,62.3231194108364
Bangladesh,BGD,South Asia,Lower middle income,2019,164913055.0,83750865.0,81162190.0,0.84641125179804,30.8228396343012,2.18,54.1751879343991,351231654603.692,2129.79896954606,7.88191515117722,6047.12401504125,5.59199639930629,32.2137331126266,4.504,5.91,3.776,56.791,59.47,72.625,74.399,70.933,25.4,22.7094642473405,30.38310051,100.399571155843,0.662908100271382,26.1,13.0947573353039,18.4832971559365
Barbados,BRB,Latin America & Caribbean ,High income,2019,281207.0,146388.0,134819.0,0.176538259610281,59.2841140645486,1.715,48.226277449213,6166710800.0,21929.435611489,0.241099789148677,19986.8728665755,1.67662473276988,,8.41,7.279,9.54,59.465,64.926,76.495,78.536,74.287,10.6,48.935497470489,70.30709839,117.111593950364,3.08882780300633,3.4,,
Belarus,BLR,Europe & Central Asia,Upper middle income,2019,9419758.0,5028345.0,4391413.0,-0.201786600970723,77.4550771852757,1.382,47.8095536382012,64410170653.4569,6837.77339645635,1.44645548204305,22301.5932411839,5.59815595039848,27.034537426493,4.165,3.198,5.106,61.575,64.251,74.2268292682927,79.4,69.3,2.4,81.2921953254514,82.7891520910901,123.229810991965,6.50202478662403,7.8,65.0945839929757,65.7558221092078
Belgium,BEL,Europe & Central Asia,High income,2019,11488980.0,5825838.0,5663142.0,0.540461327098122,87.0961631189222,1.6,56.0563384873172,536726344405.489,46716.6227467964,2.4428900448156,56712.469571978,1.43681956996438,24.2312098845978,5.364,4.94,5.733,51.005,53.896,81.9951219512195,84.3,79.8,3.3,79.3044815063477,90.275428012141,100.164960666171,8.73127988733552,10.2,82.9674275396401,82.4980513923498
Belize,BLZ,Latin America & Caribbean ,Upper middle income,2019,385829.0,191404.0,194425.0,1.46284533510266,42.9077622153323,2.142,51.0387510716341,2381187850.0,6171.61449761423,4.25658710030072,10499.962073199,0.187069385181424,16.7569097918923,9.053,13.632,5.891,63.413,69.726,72.577,75.668,69.871,11.4,25.138736158351,58.76520157,66.0704612665196,1.03206342706225,30.4,52.0189198848801,50.4229370227973
